,New_feature,Volume,Subjectivity,Sentiment,NIFTY50,NIFTY50_train_pred
13050,9925.0,899900.0,0.158333333,0.0,1.0,1.0
19100,16570.0,297400.0,0.0,0.0,1.0,
2887,11330.0,218300.0,0.419514652,1.0,1.0,1.0
3719,11084.0,340500.0,0.5,1.0,0.0,1.0
16395,10600.0,0.0,0.0,0.0,1.0,
3485,11027.0,248300.0,0.0,0.0,1.0,1.0
8650,11021.0,470900.0,0.03125,0.0,1.0,1.0
5082,11994.0,557700.0,0.4375,1.0,0.0,1.0
18361,15762.0,316700.0,0.0,0.0,1.0,
3030,10313.0,456200.0,0.5,1.0,0.0,1.0
16424,13786.0,753200.0,0.0,0.0,0.0,
14480,11483.0,642300.0,0.0,0.0,0.0,
19049,16537.0,254000.0,0.6,1.0,1.0,
9980,11933.0,486800.0,0.811111111,1.0,0.0,1.0
13317,9919.0,770200.0,0.4,1.0,0.0,1.0
11101,12027.0,771300.0,0.675,1.0,0.0,1.0
11411,10969.0,557900.0,0.258333333,-1.0,0.0,1.0
5493,10898.0,276500.0,0.0,0.0,1.0,1.0
14234,11631.0,807000.0,0.0,0.0,1.0,1.0
4718,10833.0,691300.0,0.0,0.0,1.0,1.0
19274,17037.0,464400.0,1.0,1.0,1.0,
7379,11927.0,598300.0,0.151515152,1.0,1.0,1.0
569,10415.0,266500.0,1.0,1.0,0.0,1.0
8850,11920.0,340500.0,0.2625,0.0,0.0,1.0
16700,15024.0,712200.0,1.0,1.0,0.0,
16577,15168.0,571800.0,0.322222222,1.0,1.0,
7867,11824.0,303900.0,0.0,0.0,0.0,1.0
16255,11295.0,413200.0,0.65,1.0,0.0,
8166,11625.0,480200.0,0.0,0.0,1.0,1.0
18560,11634.0,300500.0,0.0,0.0,1.0,
19612,17746.0,320500.0,0.25,-1.0,1.0,
14434,11329.0,586100.0,1.0,-1.0,1.0,
6223,10901.0,286000.0,0.0,0.0,1.0,1.0
12347,9292.0,512800.0,1.0,1.0,1.0,1.0
4728,10900.0,409700.0,0.0,0.0,1.0,1.0
14320,10972.0,680900.0,0.0,0.0,1.0,1.0
14020,11226.0,634000.0,0.0,0.0,1.0,1.0
11935,7824.0,653500.0,0.833333333,1.0,0.0,1.0
2336,10620.0,352300.0,0.333333333,1.0,0.0,1.0
2458,10746.0,192100.0,0.0,0.0,1.0,1.0
20358,9850.0,716100.0,0.0,0.0,0.0,
10049,12084.0,584200.0,0.491666667,-1.0,1.0,1.0
19931,18500.0,368200.0,0.4,-1.0,0.0,
2528,12097.0,478500.0,0.9,1.0,0.0,1.0
1686,10572.0,260800.0,0.55,1.0,1.0,1.0
9912,11925.0,613900.0,0.151515152,1.0,1.0,1.0
19071,11446.0,532900.0,0.0,0.0,1.0,
5524,10900.0,271700.0,0.25,0.0,1.0,1.0
5563,10938.0,288800.0,0.0,0.0,1.0,1.0
14840,11877.0,611100.0,0.0,0.0,1.0,
6519,11483.0,350400.0,0.0,1.0,0.0,1.0
4467,14691.0,542200.0,0.230252101,1.0,0.0,1.0
20634,15761.0,262400.0,0.2625,-1.0,0.0,
9897,11913.0,580200.0,0.25,-1.0,1.0,1.0
13924,10766.0,590700.0,0.25,1.0,1.0,1.0
20507,17518.0,305800.0,0.8,1.0,1.0,
462,10414.0,187300.0,0.25,0.0,0.0,1.0
19914,18491.0,469900.0,0.6,1.0,1.0,
16050,13956.0,380700.0,0.317857143,1.0,1.0,
2616,10972.0,210600.0,0.4,-1.0,1.0,1.0
10127,12135.0,620500.0,0.2,1.0,1.0,1.0
11248,11581.0,719800.0,0.5,1.0,1.0,1.0
10366,12125.0,499600.0,0.0,0.0,1.0,1.0
16111,10553.0,232200.0,0.0,0.0,0.0,
5377,11466.0,756800.0,0.0,0.0,0.0,1.0
12010,8536.0,865600.0,0.0,0.0,1.0,1.0
1993,10870.0,213400.0,0.5,1.0,1.0,1.0
20101,17518.0,305800.0,0.0,0.0,1.0,
3951,10493.0,259500.0,0.491666667,-1.0,1.0,1.0
1577,10633.0,223000.0,0.4,1.0,0.0,1.0
8538,11656.0,464000.0,0.0,0.0,1.0,1.0
1585,10725.0,214100.0,0.454545455,1.0,0.0,1.0
1522,10417.0,854800.0,0.471428571,1.0,0.0,1.0
7637,17057.0,231700.0,0.0,0.0,0.0,1.0
1619,10526.0,241700.0,0.46,1.0,1.0,1.0
6057,11735.0,300500.0,0.305,-1.0,1.0,1.0
492,10368.0,313600.0,0.0,0.0,0.0,1.0
3934,11335.0,268200.0,0.0,0.0,1.0,1.0
15203,11499.0,593500.0,0.535714286,1.0,1.0,
8837,10971.0,649900.0,0.3,-1.0,0.0,1.0
4459,10598.0,384500.0,0.0,0.0,0.0,1.0
1331,10655.0,186500.0,0.4,-1.0,1.0,1.0
14541,11529.0,764200.0,0.0,0.0,0.0,
5444,10761.0,298800.0,0.0,0.0,0.0,1.0
9198,11496.0,629100.0,0.325,1.0,0.0,1.0
13484,10826.0,554100.0,0.9,1.0,0.0,1.0
